Blockchain,Date,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Algorand,2022-12-15,1207,6,294,820,131,23698.38001,19.60163773,3.321112018,3763.676042,0.000442785
Arbitrum,2022-12-15,1991,10,1769,2132,75,141415.0674,57.62635184,0.961388903,38269.83189,0.004486482
Avalanche,2022-12-15,500,22,260,676,92,307852.0352,398.7720663,30.04817083,5177.649478,0.13589625
BSC,2022-12-15,161,24,112,183,40,119792.9688,617.4895296,263.28125,2106.25,263.28125
Gnosis,2022-12-15,50,2,21,49,2,135.0097425,2.700194849,1.899013182,49.9740311,0.099948062
Polygon,2022-12-15,5039,39,2172,12930,212,132699.6454,9.507748473,3.566403833,1891.085633,0.891600958
Algorand,2022-12-14,751,6,260,697,113,16622.30736,22.13356506,7.158731703,1342.22025,0.022370338
Arbitrum,2022-12-14,1508,10,1309,2647,89,225411.0827,80.44649633,2.647926512,83231.05097,0.013239633
Avalanche,2022-12-14,360,18,218,467,79,147535.2851,267.7591382,52.31236667,2284.742614,0.015207083
BSC,2022-12-14,130,22,84,175,42,109708.1863,586.6747928,272.22875,3266.745,272.22875
Ethereum,2022-12-14,35505,8,18458,13365,1018,47792414.91,899.7574206,73.92,1259586,1.34E-11
Flow,2022-12-14,15864,10,3343,13701,39,226469.8878,14.27571154,5,3000,8.77531E-06
Gnosis,2022-12-14,29,3,6,28,3,460.1166761,15.86609228,13.99723697,59.98815844,0.099980264
NEAR,2022-12-14,212,4,97,181,26,2290.38012,10.80367981,1.725954753,221.8714085,0.019251611
Optimism,2022-12-14,4731,1,4129,2949,112,69542.75088,14.00941799,13.29,535.7846,0.02
Polygon,2022-12-14,4900,36,1937,12898,171,126540.2666,9.188227319,4.603406042,1022.876822,0.920681208
Solana,2022-12-14,30600,8,6887,22393,964,2162168.283,70.62678132,16.28410638,11099.26501,1.41E-07
Algorand,2022-12-13,907,6,292,858,122,33142.0229,36.5402678,4.38213664,5474.933333,2.19E-07
Arbitrum,2022-12-13,1311,7,1104,1482,87,55881.61351,34.32531543,6.471585005,6931.698039,0.01294317
Avalanche,2022-12-13,472,22,283,662,90,144466.7099,183.1010265,55.58833333,3474.270833,0.001389708
BSC,2022-12-13,160,24,123,218,45,167435.9867,680.6340921,271.8116667,6795.291667,271.8116667
Ethereum,2022-12-13,33730,8,17616,13473,980,43584000.83,836.031628,56.04,1075165.2,0.000128139
Flow,2022-12-13,17490,12,3633,15168,44,270062.9914,15.44099436,5,1999,8.89812E-06
Gnosis,2022-12-13,30,3,13,27,2,827.9914361,27.59971454,15.49633045,288.7316279,0.099976325
NEAR,2022-12-13,221,4,83,216,30,2141.780398,9.691314016,2.495844728,165.1477375,0.018628665
Optimism,2022-12-13,3966,1,3271,2585,113,55554.30182,13.13961727,12.84,292.31,0.13
Polygon,2022-12-13,4486,38,1704,14435,196,162133.5105,10.46292659,5.46216725,2298.662051,0.910361208
Solana,2022-12-13,34609,8,7464,26830,1014,1836355.172,53.03859204,13.91086888,13416.45346,0.012078552
Algorand,2022-12-12,943,5,332,930,130,18667.30052,19.38452806,4.789802417,762.0140208,0.000217718
Arbitrum,2022-12-12,1506,11,1284,1688,93,171335.1861,96.36399666,8.150459664,97666.14672,1.25392E-06
Avalanche,2022-12-12,563,24,283,600,103,57820.72801,84.40982191,13.29916667,3723.766667,0.006649583
BSC,2022-12-12,137,24,106,238,43,154423.61,627.738252,559.5058333,3357.035,279.7529167
Ethereum,2022-12-12,30411,8,16334,12596,972,34329600.71,718.9294614,44.83,1014363.2,1.25E-14
Flow,2022-12-12,16661,13,3444,14461,43,239320.39,14.3641072,3,5150,8.776E-06
Gnosis,2022-12-12,6,2,4,6,1,54.57326273,9.095543788,1.199851874,49.99382808,0.099987656
NEAR,2022-12-12,173,3,82,155,25,1804.240084,10.42913343,3.081226375,225.6978007,0.018184794
Optimism,2022-12-12,4108,1,3167,2901,110,52147.46132,11.90037912,12.47,400.27,0.12
Polygon,2022-12-12,4126,30,1593,11478,155,125511.7278,10.32083939,3.557286167,799.500066,0.889321542
Solana,2022-12-12,29579,8,6954,24208,952,2074591.755,70.12072451,11.58672414,10236.59964,1.32E-07
Algorand,2022-12-11,1248,6,340,1178,115,22172.71047,17.2684661,5.713642708,685.637125,0.000228546
Arbitrum,2022-12-11,1107,6,964,1136,74,95018.58095,78.65776569,4.578221663,25434.5648,1.27173E-06
Avalanche,2022-12-11,546,22,304,778,93,294662.4396,314.8102987,39.9885375,2077.88831,0.135325
