Blockchain,Marketplace,Sales,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Algorand,AB2 Gallery,35,13,33,18,1344.51499,38.414714,1.15187037,768.4784,0.411382275
Algorand,ALGOxNFT,6301,1349,5928,393,59054.31171,9.151450753,3.65901679,787.9305382,0.000762014
Algorand,Atomic Swaps,128,85,171,10,32367.4854,188.1830546,15.02256213,4507.195833,2.19E-07
Algorand,Nfdomains,363,168,346,0,13001.78285,35.8175836,20.0085325,631.0074167,0.217718292
Algorand,Rand Gallery,5666,906,5217,344,204595.8345,36.10939543,9.60598,5474.933333,0.217718292
Algorand,Shufl,50,32,50,10,2436.353235,48.72706471,4.636450854,608.276875,2.1613455
Arbitrum,NFTX,31,9,117,9,1274.984879,10.19987903,6.66911829,64.10102511,0.543815957
Arbitrum,Others,1253,913,913,70,2123819.586,1605.30581,19.76995439,185892.9728,1.25392E-06
Arbitrum,Seaport,18309,15874,18690,158,765708.2116,33.24829404,8.025067977,3837.500553,1.27173E-06
Arbitrum,Smol Sweep,2,3,10,2,928.0037128,46.40018564,60.64059246,60.64059246,25.03957541
Arbitrum,Zapper,2,2,2,1,1400.053432,700.026716,700.026716,1361.575819,38.4776125
Arbitrum,tofuNFT,4441,2979,4059,79,71681.03975,16.10447984,3.844553263,2550.834309,0.000254346
Avalanche,Element,1069,790,48,7,81118.97565,75.45951223,73.65454167,183.8153333,0.014738696
Avalanche,FarmLand,56,39,52,1,20780.8901,371.0873232,211.1251458,1679.45,69.97708333
Avalanche,Nifty Protocol,513,137,500,39,22570.55582,43.99718484,12.90019167,1652.793333,0.000140217
Avalanche,Others,5169,1882,4842,365,1600388.653,186.1782984,29.29319167,5895.478261,0.000129429
Avalanche,Roostr,137,54,134,1,53020.53224,387.0111843,341.246255,2029.21875,224.3466667
Avalanche,Seaport,242,178,354,58,71881.10252,200.2259123,14.48813783,5177.649478,0.030414167
Avalanche,chikn,85,50,84,1,154464.3431,1817.227566,1503.95,23236.0275,1190.748333
BSC,Element,638,149,3852,18,2226625.015,522.9274343,289.7854167,3380.41,263.28125
BSC,MarketNG,389,244,430,39,241042.5667,541.6686891,290.7554167,6134.9575,263.28125
BSC,Nifty Protocol,130,53,130,11,40744.47417,313.4190321,288.485,1684.275,263.28125
BSC,Others,1344,604,1493,96,952041.625,530.3853064,288.485,6795.291667,263.28125
