Blockchain,Date,DEX,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,2022-12-12,Algofi,1389,82,75177.70556,49.52418021,8.150220571
Algorand,2022-12-12,FXDX,13,6,1244.447784,95.72675265,25.07075928
Algorand,2022-12-12,Humble,176,51,29959.78239,170.2260363,56.07314615
Algorand,2022-12-12,Pact,1644,88,61204.33525,34.0213092,4.30884963
Algorand,2022-12-12,Tinyman,11698,1038,670629.1638,57.3285317,3.215872147
Algorand,2022-12-12,WAGMI,6,3,18.39112626,3.065187709,0.077507101
Arbitrum,2022-12-12,1inch Network,4217,1318,10742897.09,2547.521245,499.9083499
Arbitrum,2022-12-12,Camelot,240,158,111812.0576,465.8835731,27.8191275
Arbitrum,2022-12-12,Fraxswap,45,15,33114.90019,735.8866709,248.235793
Arbitrum,2022-12-12,GMX,1230,778,819505.6919,666.2647901,25.45594883
Arbitrum,2022-12-12,Others,7754,2234,11783610.59,1519.681531,154.7633671
Arbitrum,2022-12-12,Rage Trade,202,166,2165.671143,10.72114427,1.552981096
Arbitrum,2022-12-12,Sumswap,21,9,3818.856954,181.8503311,212.8941661
Arbitrum,2022-12-12,SushiSwap,40009,18161,35966924.8,898.9708516,5.712651978
Arbitrum,2022-12-12,Uniswap,24524,10021,16442223.84,670.4544053,1.207197487
Avalanche,2022-12-12,1inch Network,1140,342,1590411.875,1395.098136,298.5336867
Avalanche,2022-12-12,Alligator,1,1,4.488900032,4.488900032,4.488900032
Avalanche,2022-12-12,Alpha Nodes,28,18,1200277.54,42867.055,59795.61419
Avalanche,2022-12-12,Beefy Finance,33,27,3147.4851,95.37833637,18.7526911
Avalanche,2022-12-12,Chainlink,9,5,1622046.79,180227.4211,1132.648048
Avalanche,2022-12-12,Cycle Finance,1,1,5.129144839,5.129144839,5.129144839
Avalanche,2022-12-12,GMX,57,39,250743.4176,4399.007326,40.60391853
Avalanche,2022-12-12,Grape Finance,6,6,0.023867588,0.003977931,0.003378806
Avalanche,2022-12-12,Hakuswap,3,3,9.773474262,3.257824754,2.693550151
Avalanche,2022-12-12,Ihelp Protocol,1,1,2.34E-05,2.34E-05,2.34E-05
Avalanche,2022-12-12,Lydia Finance,31,7,476.2835657,15.36398599,10.12808633
Avalanche,2022-12-12,Others,3803,556,1819396.138,478.4107645,17.17804826
Avalanche,2022-12-12,Pangolin,1219,298,230798.7707,189.3345124,35.48647499
Avalanche,2022-12-12,Partyswap,2,1,0.023315055,0.011657528,0.011657528
Avalanche,2022-12-12,Spore,1,1,1.43E-05,1.43E-05,1.43E-05
Avalanche,2022-12-12,SushiSwap,7385,2621,1828773.165,247.6334685,50.51333306
Avalanche,2022-12-12,Trader Joe,5760,2437,1225768.524,212.8070355,26.8124412
Avalanche,2022-12-12,YakSwap,127,46,329466.6298,2594.225431,300.0746186
Avalanche,2022-12-12,Yetiswap,21,3,217.9251583,10.37738849,8.264915472
BSC,2022-12-12,Biswap,2910,1249,1344348.122,461.9752996,96.72811436
BSC,2022-12-12,Bitvalley,1,1,0.025794678,0.025794678,0.025794678
