Blockchain,Day,Hour,Swaps,Swappers,Volume,AmountAverage,AmountMedian
THORChain,1.Monday,0,1448,43,1135520.073,483.2000312,366.1079906
Flow,1.Monday,0,30,14,11041.13802,262.8842387,17.81103075
BSC,1.Monday,0,32246,16061,16215544.81,502.8699623,52.8967205
Algorand,1.Monday,0,1090,133,41609.23742,37.38475959,2.308350448
Solana,1.Monday,0,18436,698,528794.4329,28.67959827,0.745659995
Optimism,1.Monday,0,2908,782,7262236.678,2497.330357,59.86135366
Arbitrum,1.Monday,0,3757,1456,5764998.224,1534.468518,59.71716625
NEAR,1.Monday,0,93,27,45136.26879,451.3626879,35.06447176
Ethereum,1.Monday,0,4532,207,116214364.4,19801.39111,880.1996628
Polygon,1.Monday,0,7272,2383,6107195.159,839.8233167,29.35278012
Avalanche,1.Monday,0,1684,673,2136146.12,1268.495321,106.1730419
Gnosis,1.Monday,0,170,41,12161.06435,71.53567262,3.001712998
Osmosis,1.Monday,0,1340,469,348200.6299,259.8512163,24.58517114
Gnosis,1.Monday,1,113,43,2941.480099,26.03079734,1.77492577
Solana,1.Monday,1,14727,536,340239.7168,23.10312465,0.100166358
Osmosis,1.Monday,1,976,448,193611.4298,198.3723666,8.742359211
Arbitrum,1.Monday,1,3451,1529,2968974.993,860.3230927,10.87014347
Polygon,1.Monday,1,5262,2412,2408930.814,457.7975702,7.723211325
BSC,1.Monday,1,27348,15118,12832938.34,469.2459537,46.21677328
Avalanche,1.Monday,1,1274,635,550707.0388,432.2661215,42.66636363
Flow,1.Monday,1,18,16,3438.623153,95.51730982,50.08335278
THORChain,1.Monday,1,664,44,603226.3837,561.140822,367.7258691
Algorand,1.Monday,1,978,129,49107.34325,49.15649975,2.289977445
Ethereum,1.Monday,1,3361,157,46539392.05,10904.26243,507.2450439
Optimism,1.Monday,1,2913,1514,2985862.239,1025.012784,52.09295456
NEAR,1.Monday,1,63,27,24635.641,315.8415512,26.915859
Ethereum,1.Monday,2,4704,241,64999083.45,10482.03249,778.4
Avalanche,1.Monday,2,1891,739,2457288.103,1299.464888,67.61269477
Flow,1.Monday,2,42,13,19026.90359,226.510757,26.38347668
Solana,1.Monday,2,12825,500,816533.9247,63.61280186,1.001590491
Algorand,1.Monday,2,2006,122,158111.6861,76.90257106,4.149963019
Arbitrum,1.Monday,2,5092,2113,5993969.512,1177.134625,12.16724822
Osmosis,1.Monday,2,1258,419,404164.6914,321.2755893,32.52214615
Polygon,1.Monday,2,7687,2854,6178169.522,803.7166023,27.9027405
Gnosis,1.Monday,2,191,69,19506.88854,102.1303065,2.326478469
Optimism,1.Monday,2,4234,1434,6912530.689,1632.624159,27.84086655
BSC,1.Monday,2,33480,16742,13180363.35,393.6787143,55.05662314
NEAR,1.Monday,2,287,60,231562.5957,603.0275931,29.25239021
THORChain,1.Monday,2,1185,61,1208967.028,637.6408374,406.0900806
THORChain,1.Monday,3,1447,52,1141258.682,541.9082062,399.4805093
Arbitrum,1.Monday,3,5550,2372,5143457.823,926.7491573,3.466174198
Algorand,1.Monday,3,1167,147,224636.7146,185.4968742,6.894128304
Avalanche,1.Monday,3,2085,704,1248662.985,598.8791297,150.3105036
Optimism,1.Monday,3,4185,1384,7349827.263,1756.231126,32.99695748
Osmosis,1.Monday,3,584,209,197735.6434,338.5884305,15.96655912
Flow,1.Monday,3,34,12,12048.46639,194.3301031,0.649965893
Solana,1.Monday,3,13893,664,980896.5233,70.55794298,1.20088921
BSC,1.Monday,3,38374,19527,18573689.84,484.0175598,54.09208504
NEAR,1.Monday,3,255,40,212993.8153,684.8675734,34.72635849
Gnosis,1.Monday,3,237,42,9248.791168,39.02443531,1.905242588
Polygon,1.Monday,3,8393,3072,5493139.216,654.4905536,26.33603683
Ethereum,1.Monday,3,4399,183,47262401.93,8562.029336,681.3068541
