Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,2022-12-19,Native Coin,3715,692,312933.646,84.23516716,3.08897853
Algorand,2022-12-19,Other Tokens,5531,457,88444.84083,15.70119667,2.717105586
Algorand,2022-12-19,Stablecoins,4264,196,453231.7732,103.9045789,8.72410338
Arbitrum,2022-12-19,Native Coin,33639,11695,29898599.8,888.807628,1.993147229
Arbitrum,2022-12-19,Other Tokens,12599,8242,1626908.459,129.1299674,0.018000954
Arbitrum,2022-12-19,Stablecoins,22464,9365,26236065.81,1167.916035,23.0964316
Avalanche,2022-12-19,Native Coin,11691,3740,2789908.478,238.6372832,35.44685572
Avalanche,2022-12-19,Other Tokens,1189,416,692911.3299,582.7681496,181.9720339
Avalanche,2022-12-19,Stablecoins,7912,2731,5929498.546,749.4310599,104.4827358
BSC,2022-12-19,Native Coin,246179,74704,51672816.65,209.8993685,33.21773637
BSC,2022-12-19,Other Tokens,9537,4326,5903526.042,619.0129015,50.07306001
BSC,2022-12-19,Stablecoins,225510,93004,72936149.18,323.4275605,46.50450932
Ethereum,2022-12-19,Native Coin,22825,414,217059502.1,9037.367894,600.0372681
Ethereum,2022-12-19,Other Tokens,20163,495,184484279.4,8490.624052,457.988065
Ethereum,2022-12-19,Stablecoins,12602,350,443045568.6,32030.47778,1065.698834
Flow,2022-12-19,Native Coin,161,73,41926.22052,235.5405647,110.0422173
Flow,2022-12-19,Other Tokens,31,10,1632.79638,52.67085097,51.5789959
Flow,2022-12-19,Stablecoins,220,93,85299.70441,260.0600744,99.85712705
Gnosis,2022-12-19,Other Tokens,1620,325,132966.3854,82.07801568,3.746022878
Gnosis,2022-12-19,Stablecoins,139,83,9823.245758,70.6708328,3.130493009
NEAR,2022-12-19,Native Coin,795,166,391323.0197,483.7120144,48.69824864
NEAR,2022-12-19,Other Tokens,844,69,665128.8951,778.8394556,0.001555593
NEAR,2022-12-19,Stablecoins,1136,137,944298.137,668.7663859,66.32330282
Optimism,2022-12-19,Native Coin,9497,5142,4227767.612,445.1687493,33.22384125
Optimism,2022-12-19,Other Tokens,4919,2080,4552729.279,925.5395973,1.986760503
Optimism,2022-12-19,Stablecoins,30857,11174,40958798.95,1327.37463,30.04109115
Osmosis,2022-12-19,Native Coin,285,132,24370.39344,85.51015242,6.367123746
Osmosis,2022-12-19,Other Tokens,684,366,100022.8099,146.2321782,4.233079129
Osmosis,2022-12-19,Stablecoins,280,113,60168.65479,214.8880528,16.0300065
