Blockchain,Date,Blocks,Transactions,Users,Fees,FeeAverage,FeeMedian,Transactions/Block,TPS,Fees/Block
Algorand,2022-12-15,23310,971091,22545,277.5940665,0.000272253,0.00022121,41.659846,11.239479,0.011908797
Arbitrum,2022-12-15,280970,663856,77250,35048.47699,0.0527953,0.035198114,2.362729,7.683519,0.124740994
Avalanche,2022-12-15,42558,146540,30161,13129.41971,0.089596149,0.048136317,3.443301,1.696065,0.308506502
Axelar,2022-12-15,2044,19871,1247,196.9577566,0.009911819,0.006375078,9.721624,0.229988,0.096358981
BSC,2022-12-15,28367,3451177,1152165,545806.1925,0.158150739,0.061585934,121.661684,39.944178,19.24088527
Cosmos,2022-12-15,11550,40330,16569,1059.214809,0.026261741,0.020718969,3.491775,0.466782,0.09170691
Ethereum,2022-12-15,7151,1080176,367128,2812831.336,2.604049096,1.202248723,151.05244,12.502037,393.3479704
Flow,2022-12-15,61589,462966,5772,11.00606078,2.38E-05,1.59E-05,7.517024,5.358403,0.000178702
Gnosis,2022-12-15,28367,3451177,1152165,2073.09177,0.000600691,0.000233917,121.661684,39.944178,0.073081107
NEAR,2022-12-15,71517,373097,51039,1075.522882,0.00288269,0.00125318,5.216899,4.318252,0.015038702
Optimism,2022-12-15,473892,473892,45993,57217.33192,0.120739181,0.091641463,1,5.484861,0.120739181
Osmosis,2022-12-15,13860,60215,7656,248.0702541,0.004119742,0.002113326,4.344517,0.696933,0.017898287
Polygon,2022-12-15,39963,3063598,368367,66282.85141,0.021635623,0.010242029,76.660861,35.45831,1.658605495
Solana,2022-12-15,177458,30866127,104751,2784.474311,9.02E-05,7.05E-05,173.93483,357.24684,0.015690892
Algorand,2022-12-14,23193,836895,31574,264.0574963,0.000301161,0.000223657,36.083948,9.686285,0.011385224
Arbitrum,2022-12-14,264783,617434,68981,32969.70393,0.05339794,0.036302609,2.331849,7.146227,0.124515939
Avalanche,2022-12-14,42615,192784,39972,16995.79324,0.088159771,0.046386939,4.523853,2.231296,0.398821852
Axelar,2022-12-14,4349,44169,1567,356.1750464,0.008063915,0.005254945,10.156128,0.511215,0.081898148
BSC,2022-12-14,28339,3237692,1075338,529409.5127,0.163514477,0.061409361,114.248633,37.473287,18.68130537
Cosmos,2022-12-14,11587,40027,16152,4266.471335,0.106589835,0.022310303,3.454475,0.463275,0.368211904
Ethereum,2022-12-14,7160,1095120,367874,2712401.533,2.476807594,1.106153597,152.949721,12.675,378.8270297
Flow,2022-12-14,61993,774784,1781,9.318406813,1.20E-05,1.06E-05,12.497927,8.967407,0.000150314
Gnosis,2022-12-14,28339,3237692,1075338,1944.723005,0.000600651,0.00022558,114.248633,37.473287,0.068623558
NEAR,2022-12-14,71684,399557,49422,1165.057641,0.002915873,0.001288646,5.573866,4.624502,0.016252687
Optimism,2022-12-14,590624,590624,52009,68667.66912,0.116262917,0.090100034,1,6.835926,0.116262917
Osmosis,2022-12-14,13910,66080,8228,298.6816681,0.004520001,0.002267034,4.750539,0.764815,0.021472442
Polygon,2022-12-14,38943,3328748,420322,64224.60253,0.019293921,0.007856689,85.477441,38.527176,1.649195042
Solana,2022-12-14,180546,29495841,100809,2571.926978,8.72E-05,7.07E-05,163.370227,341.387049,0.014245273
Algorand,2022-12-13,23178,757131,28684,224.3145267,0.000279439,0.000219103,32.665933,8.76309,0.009677907
Arbitrum,2022-12-13,266652,631472,64684,37418.50544,0.059256001,0.038086054,2.36815,7.308704,0.140327113
Avalanche,2022-12-13,42181,165742,32569,17658.16662,0.106540084,0.046806448,3.929305,1.91831,0.418628449
Axelar,2022-12-13,2019,20479,1102,141.5797094,0.006913409,0.004814805,10.14314,0.237025,0.07012368
BSC,2022-12-13,27971,3485165,1134215,584231.1628,0.167633717,0.061584369,124.599228,40.337558,20.88703167
Cosmos,2022-12-13,11729,43758,17009,1439.091038,0.032885993,0.022272821,3.730753,0.506458,0.122695118
Ethereum,2022-12-13,7145,1151038,358568,3038359.29,2.639668969,1.187792253,161.096991,13.322199,425.2427278
Flow,2022-12-13,62202,545324,1996,7.749866791,1.42E-05,8.52E-06,8.766985,6.31162,0.000124592
Gnosis,2022-12-13,27971,3485165,1134215,2149.396933,0.000616727,0.00022657,124.599228,40.337558,0.076843764
