Blockchain,Date,Transfers,Users,Volume,AmountAverage,AmountMedian
Arbitrum,2022-12-14,1,2,1911.121452,955.560726,955.560726
Solana,2022-12-14,16,9,129.369994,4.312333133,0.100031
Algorand,2022-12-13,13550,1460,32705451.61,2294.63633,2.871592
Arbitrum,2022-12-13,72625,18012,297292874.9,2725.55718,100
Avalanche,2022-12-13,19615,3923,891372349.4,28060.5789,206.472723
Axelar,2022-12-13,537,284,1402979.17,2607.767975,269.880452
BSC,2022-12-13,27685,8184,691926017.2,15733.45803,121.6238171
Ethereum,2022-12-13,67653,27536,24235005442,268374.3114,1300
Flow,2022-12-13,316,64,360976.9618,800.3923765,378
Gnosis,2022-12-13,1472,344,4863288.977,2413.542917,2.874856
NEAR,2022-12-13,223,47,60758.28541,272.458679,30.283049
Optimism,2022-12-13,154812,18243,8360013525,24639.14767,23.469764
Osmosis,2022-12-13,829,257,1957231.293,2343.989572,168.129509
Polygon,2022-12-13,193477,31536,391724091.2,1364.355119,5.05119
Solana,2022-12-13,337861,20109,537228175.5,923.3215412,1
Algorand,2022-12-12,13590,1257,35800829.31,2534.571987,3.644099
Arbitrum,2022-12-12,64465,16772,192699416,1905.198687,62.690167
Avalanche,2022-12-12,14173,3409,212384876.4,8665.587187,114.475645
Axelar,2022-12-12,491,280,1903005.574,3875.775099,217.686018
BSC,2022-12-12,17505,5913,208123235.3,7239.320855,60.6042232
Ethereum,2022-12-12,53430,22767,12483085108,177140.4159,931
Flow,2022-12-12,456,89,1765569.858,3300.130575,448
Gnosis,2022-12-12,741,366,1647201.241,179.55104,0.849762
NEAR,2022-12-12,199,54,14328.30894,72.00155244,18.475737
Optimism,2022-12-12,135646,19277,3964206653,15296.01357,21.8444185
Osmosis,2022-12-12,787,237,3127901.32,3954.363236,153.173057
Polygon,2022-12-12,163287,23779,275572620.4,1121.887615,3.73894
Solana,2022-12-12,217410,21321,113469638.4,326.4815392,1.332303
Algorand,2022-12-11,8066,1164,2352540.578,281.4380402,0.452473
Arbitrum,2022-12-11,52439,15588,96064714.46,1269.303734,25.442542
Avalanche,2022-12-11,10443,2571,56187409.68,3092.317539,103.562883
Axelar,2022-12-11,512,297,1899846.548,3660.590651,400
BSC,2022-12-11,12980,4150,71199464.72,3266.929647,33
Ethereum,2022-12-11,33368,14567,6077120104,136788.892,501.917014
Flow,2022-12-11,138,45,81219.77699,458.8687965,323
Gnosis,2022-12-11,405,177,1189233.812,1647.138244,10.5000005
NEAR,2022-12-11,165,40,10921.69758,66.19210656,18.574445
Optimism,2022-12-11,124411,19043,3869249839,17025.35307,21
Osmosis,2022-12-11,889,242,3713318.678,4176.961392,217.433716
Polygon,2022-12-11,138415,23170,224269206.2,1083.677405,2.9734485
Solana,2022-12-11,159594,18586,55113519.88,186.7634477,1.8284325
Algorand,2022-12-10,7930,938,2671633.216,323.5597936,0.927038
Arbitrum,2022-12-10,53227,15304,467590965.6,5964.626956,20.0857785
Avalanche,2022-12-10,16083,3765,39497345.52,1482.744407,93.101087
Axelar,2022-12-10,748,334,3173889.946,4138.057296,461.250971
BSC,2022-12-10,12889,4414,62849802.84,2814.338297,33.0870546
Ethereum,2022-12-10,33343,14945,4872151819,113090.1959,642.4797795
Flow,2022-12-10,81,34,22831.52434,195.1412337,323
Gnosis,2022-12-10,606,211,228621.7055,238.6447865,6.390265
NEAR,2022-12-10,164,42,24008.16713,146.391263,18.436334
Optimism,2022-12-10,126714,19466,2592438699,11013.70405,20.993699
Osmosis,2022-12-10,1257,270,7800293.901,5887.014265,216.657184
Polygon,2022-12-10,156740,25355,151345576.4,687.9844736,1
Solana,2022-12-10,144819,17960,48240787.81,178.6993677,2.25077
Algorand,2022-12-09,9382,1244,23398071.15,2407.208966,0.9457835
Arbitrum,2022-12-09,62827,16013,134966367.4,1388.600018,17.7821635
Avalanche,2022-12-09,25039,4974,47734298.3,1399.340358,25.311458
Axelar,2022-12-09,385,256,617197.0232,1586.624738,282.186111
BSC,2022-12-09,17670,5907,111331802.7,3743.000361,35.35865096
Ethereum,2022-12-09,42261,18633,9283630539,172737.9901,952.3626745
Flow,2022-12-09,115,38,706127.0851,4645.572929,326
Gnosis,2022-12-09,1911,320,493779.1859,172.7104533,2.2582
NEAR,2022-12-09,182,53,37347.96584,205.2086035,24.9039045
Optimism,2022-12-09,101382,15375,124177165.8,606.5500193,22
Osmosis,2022-12-09,742,214,1049550.272,1414.488237,200
Polygon,2022-12-09,252542,45367,219860927.3,676.9534062,0.22
Solana,2022-12-09,228757,20102,85823711.52,204.9218063,2.108916
Algorand,2022-12-08,12031,1169,10660561.1,847.084712,4.166859
Arbitrum,2022-12-08,64461,17013,159029906.5,1530.428695,24.2578085
Avalanche,2022-12-08,11377,2625,83902025.47,4390.018076,92.201252
Axelar,2022-12-08,520,276,1243059.201,2376.786235,286.588911
BSC,2022-12-08,17553,5322,85185061.04,2906.447202,27.24021235
Ethereum,2022-12-08,48323,20804,13487498946,210160.9447,833.909977
Flow,2022-12-08,177,37,504360.4075,1925.039723,181.5
Gnosis,2022-12-08,1478,361,449474.7929,200.3007098,0.999662
NEAR,2022-12-08,171,51,49691.25195,290.5921167,23.916738
Optimism,2022-12-08,124044,14804,133085610.8,546.5505719,21.699377
Osmosis,2022-12-08,753,215,2142556.949,2856.742599,168.525953
Polygon,2022-12-08,249017,28586,248752783.4,728.6981814,0.3
Solana,2022-12-08,218132,21661,90901767.88,235.9258753,2.677705
Algorand,2022-12-07,17219,1147,16700594.48,933.7243925,4.931115
Arbitrum,2022-12-07,62843,16549,182152910.7,1926.259855,44.15
Avalanche,2022-12-07,11188,2654,90904880.1,4753.942062,100
Axelar,2022-12-07,471,316,746104.9634,1564.161349,138.166307
