Blockchain,Bucket,Transfers,Users,Volume,AmountAverage,AmountMedian
Algorand,01-Oct,38049,2410,141699.0783,3.683557198,2.964848
Algorand,10-100,28292,2390,1089964.471,36.94920067,25.429499
Algorand,<1,50107,2667,10214.83493,0.198350161,0.066667
Algorand,>100000,268,63,200301393.2,747393.2582,262321.2
Algorand,1000-10000,4289,921,12220745.72,2788.851145,2000
Algorand,100-1000,21107,2139,6451330.852,293.0691343,219.166934
Algorand,10000-100000,715,196,20155117.44,28110.3451,18425.55
Arbitrum,10-100,198486,38494,10745652.3,38.20812225,30
Arbitrum,>100000,2195,555,1200575611,405599.8685,164801.328
Arbitrum,1000-10000,162656,13713,855037410,3337.773393,2474.027295
Arbitrum,01-Oct,127082,30040,664063.3016,3.688297999,2.9133515
Arbitrum,<1,176836,35120,41002.81412,0.153579521,0.04
Arbitrum,100-1000,272467,59215,136336051,326.0060378,214
Arbitrum,10000-100000,34669,3808,1276210659,22555.06448,17179.34866
Avalanche,100-1000,64168,9306,33852823.68,351.3599004,254.235162
Avalanche,<1,39878,9371,9557.376776,0.14988907,0.027166
Avalanche,01-Oct,31849,5494,154393.5663,3.731115667,3.0353435
Avalanche,>100000,1814,435,1682844402,762503.1273,250003.02
Avalanche,1000-10000,22876,3710,106440384.9,3009.510996,2019.282725
Avalanche,10000-100000,5948,1217,308345549.8,31667.4078,24226.0548
Avalanche,10-100,48379,9963,2528853.788,38.40674607,29
Axelar,01-Oct,1,1,0.000001,0.000001,0.000001
Axelar,100-1000,3,3,0.000411,0.000137,0.0001
Axelar,10000-100000,18,17,0.664653,0.036925167,0.019098
Axelar,>100000,6258,2553,16919252.83,2679.640929,262.0114335
Axelar,1000-10000,7,7,0.030742,0.004391714,0.00366
Axelar,10-100,1,1,0.00001,0.00001,0.00001
BSC,01-Oct,46426,8835,302801.5644,4.44903856,3.85
BSC,10000-100000,9809,3291,435399888.1,34095.52765,24219.1054
BSC,<1,29886,2419,14904.09511,0.296433731,0.197178958
BSC,>100000,2858,916,1749635008,535875.9596,230000
BSC,100-1000,85490,28111,35450558.7,277.7734493,169.1571758
BSC,1000-10000,29277,10017,123423974.7,3143.278529,2145.449801
BSC,10-100,68550,16604,4252794.474,39.56676783,29.91
Ethereum,10000-100000,86655,27341,3503285183,32164.42813,22963.61938
Ethereum,100-1000,213986,75668,105882090.4,395.9733671,314.061818
Ethereum,01-Oct,29292,9343,148037.4857,4.220838984,3.775566
Ethereum,<1,18226,5327,5743.363857,0.272055509,0.12868
Ethereum,1000-10000,196381,73514,820822518.9,3379.400218,2539.01979
Ethereum,10-100,90177,31366,5106694.268,45.31228277,43
Ethereum,>100000,45754,8359,1.6088E+11,2875375.345,299996.31
Flow,>100000,2565,407,10811613.86,3039.531589,324
Gnosis,10000-100000,68,36,2043754.733,22458.84322,21992.40129
Gnosis,01-Oct,3892,485,37730.96447,3.452687085,2.643905
Gnosis,10-100,2204,814,176140.6748,35.36251252,26.062609
Gnosis,>100000,13,7,7107273.035,394848.502,335491.2322
Gnosis,100-1000,1633,634,972175.9025,338.7372483,252.8026175
Gnosis,<1,5406,277,6837.357761,0.406356696,0.3208265
Gnosis,1000-10000,482,204,2077007.581,2649.244364,1976.137257
NEAR,<1,1104,315,32.216509,0.02918162,0
NEAR,10-100,1132,70,32183.42203,28.43058483,26.5321505
NEAR,10000-100000,1,1,20278.9211,20278.9211,20278.9211
NEAR,01-Oct,81,59,336.357327,4.152559593,3.49501
NEAR,1000-10000,87,30,202703.4621,2329.924852,1943.298
NEAR,100-1000,344,63,181767.0471,528.3925789,550.1650255
Optimism,100-1000,305377,54508,118146504.4,253.8644935,149.11048
Optimism,>100000,2535,332,18589910264,523173.1141,562422.6208
Optimism,01-Oct,151463,28148,1571301.836,4.207506818,3.0001
Optimism,1000-10000,94463,7877,499606225.9,3247.0005,2099
Optimism,<1,251979,16142,61279.40498,0.107895204,0.0128
Optimism,10000-100000,55571,2205,1801071258,16084.87098,10000
Optimism,10-100,971185,82505,50839490.71,34.97779515,24.952495
Osmosis,>100000,10397,2067,28126546.76,2677.95361,174.858705
Osmosis,10000-100000,32,26,1.447131,0.0482377,0.047614
Osmosis,01-Oct,2,2,0.000002,0.000001,0.000001
Osmosis,1000-10000,5,5,0.031289,0.0062578,0.006
Osmosis,100-1000,3,3,0.00051,0.00017,0.000199
Osmosis,10-100,2,2,0.00002,0.00001,0.00001
Polygon,100-1000,429607,63865,246992569.3,350.7545273,256.996946
Polygon,<1,1758072,142235,226402.9615,0.108620988,0.02
Polygon,01-Oct,354355,57493,2142072.909,3.999396766,3.185063
Polygon,1000-10000,217231,20841,1055950405,3017.044259,2098.652229
Polygon,10-100,351302,49920,21722456.05,40.42560455,32.574511
Polygon,10000-100000,34519,4305,1472892421,27451.67967,19894.82785
Polygon,>100000,2594,726,1279250448,342503.4666,164965.5556
Solana,100-1000,315514,47767,111981187.5,267.7931511,186.040966
Solana,1000-10000,167143,11830,953754672,4141.33969,4667.529383
Solana,<1,1315569,38678,545918.5263,0.262224576,0.100421
Solana,01-Oct,955819,64789,5518741.41,3.470328159,2.798051
Solana,>100000,1132,363,1387834930,1209969.425,324552.98
Solana,10-100,689659,58265,35623616.65,31.71361353,22.023294
Solana,10000-100000,31377,1892,673327688.4,21141.91436,14017
