Blockchain,Day,Hour,Transfers,Users,Volume,AmountAverage,AmountMedian
Ethereum,1.Monday,0,3849,1901,736289721.6,113362.5437,607.685268
Algorand,1.Monday,0,1142,155,343523.5383,279.7422951,1.502291
Avalanche,1.Monday,0,1207,461,8650397.311,3769.236301,198.846325
Solana,1.Monday,0,81491,1921,20285797.77,129.0280993,0.500173
Polygon,1.Monday,0,20880,5202,28088488.86,936.6888604,0.3
Osmosis,1.Monday,0,85,31,82237.1003,956.2453524,259.880655
Arbitrum,1.Monday,0,4362,1432,19740390.8,3132.400952,101
BSC,1.Monday,0,1065,458,3689775.514,1865.407237,38.21633944
Optimism,1.Monday,0,5482,1182,113511233.4,6904.576238,24.0773325
Axelar,1.Monday,0,44,31,67103.32592,1525.075589,747.522708
Gnosis,1.Monday,0,28,18,4137.658654,118.2188187,5.017532
Flow,1.Monday,0,29,13,16368.88735,409.2221839,250
NEAR,1.Monday,0,41,4,1346.261949,32.83565729,0
Flow,1.Monday,1,110,34,9250.090142,81.1411416,53
Optimism,1.Monday,1,6804,1712,174922502,12037.88466,21.300003
Polygon,1.Monday,1,18246,2777,20011595.99,822.3718249,0.0400895
Ethereum,1.Monday,1,3660,2014,886554615.4,161309.0639,501.3333565
Gnosis,1.Monday,1,29,33,16178.83366,344.2305034,6.200001
Solana,1.Monday,1,20710,1854,8090532.386,232.1929855,1.824256
Algorand,1.Monday,1,920,159,224987.9279,235.5894533,1.5
Arbitrum,1.Monday,1,3926,1542,10790255.25,1936.513865,49.039951
Osmosis,1.Monday,1,39,27,245596.199,6297.338435,200.654667
Avalanche,1.Monday,1,826,409,11980278.76,8569.584238,65
NEAR,1.Monday,1,15,8,2138.963161,142.5975441,25.888872
BSC,1.Monday,1,962,462,6310117.427,3666.541213,22.60119521
Axelar,1.Monday,1,18,18,209405.8277,11633.6571,640.952895
Gnosis,1.Monday,2,22,26,5615.491373,136.9632042,89.573833
Solana,1.Monday,2,22632,1785,9474914.047,243.7904039,2.00034
NEAR,1.Monday,2,19,11,1929.994144,101.5786392,0.10363
Avalanche,1.Monday,2,1619,537,11707562.51,3924.761151,153.050855
BSC,1.Monday,2,1045,483,6993738.545,4005.577632,42.80871868
Algorand,1.Monday,2,2261,194,478479.2186,204.390952,2.267307
Osmosis,1.Monday,2,53,33,82050.6428,1577.896977,204.8168235
Arbitrum,1.Monday,2,5122,1858,13147576.84,1752.075805,87.877294
Optimism,1.Monday,2,10202,2194,164847624.9,7546.931506,22
Ethereum,1.Monday,2,3999,2107,915728113.6,172194.0793,800
Axelar,1.Monday,2,30,29,37000.26022,1233.342007,246.2601855
Polygon,1.Monday,2,21720,3014,29271423.87,934.9801601,0.703747
Flow,1.Monday,2,73,14,30253.63937,302.5363937,314
Gnosis,1.Monday,3,35,33,926.127656,16.53799386,0.999712
Optimism,1.Monday,3,11264,2413,164786493.9,7580.224203,21.725393
Algorand,1.Monday,3,1141,161,2853083.067,2430.224078,21.778273
